index,rest_stop,act_start,ignore_intervals
0,10,13,[()]
1,6,8,[()]
2,5,6,[()]
3,9,9,[()]
4,10,11,[()]
5,11,12,[(23:31)]
6,10,13,[()]
7,13,17,[()]
8,10,10,[()]
9,9,10,[()]
10,10,11,[()]
11,9,9,[()]
12,14,14,[(27:30)]
13,10,10,[()]
14,9,9,[(26:26)]
15,11,13,[(27:32)]
16,19,19,[()]
17,13,13,[()]
18,8,8,[()]
19,10,10,[()]
20,12,12,[()]
21,10,12,[()]
22,12,13,[()]
23,7,7,[(17:24)]
24,14,16,[()]
25,16,17,[()]
26,9,9,[()]
27,10,10,[()]
28,9,10,[()]
29,11,11,[()]
30,16,17,[()]
31,12,12,[()]
32,13,14,[()]
33,11,11,[()]
34,11,13,[()]
35,13,13,[()]
36,8,9,[()]
37,8,9,[()]
38,11,11,[()]
39,8,11,[()]
40,11,13,[()]
41,10,10,[(22:29)]
42,8,10,[()]
43,9,9,[()]
44,8,8,[()]
45,9,9,[()]
46,8,8,[(22:35)]
47,11,13,[(26:32)]
48,9,10,[(21:29)]
49,8,8,[()]
50,8,10,[()]
51,13,14,[(33:33)]
52,6,7,[(25:25)]
53,10,12,[()]
54,9,9,[(30:30)]
55,5,5,[()]
56,6,6,[()]
57,10,10,[()]
58,11,11,[()]
59,6,6,[()]
60,7,7,[()]
61,7,7,[(27:27)]
62,8,8,[()]
63,8,11,[()]
64,9,11,[()]
65,12,14,[()]
66,8,9,[()]
67,6,8,[()]
68,7,8,[()]
69,11,11,[()]
70,11,11,[()]
71,7,7,[()]
72,9,11,[()]
73,7,7,[()]
74,6,9,[()]
75,7,8,[()]
76,14,14,[()]
77,8,9,[()]
78,7,9,[()]
79,10,10,[()]
80,7,8,[(27:27)]
81,7,7,[()]
82,9,9,[()]
83,8,8,[()]
84,10,11,[()]
85,9,9,[()]
86,6,10,[()]
87,11,11,[(24:31)]
88,8,8,[()]
89,11,11,[()]
90,5,6,[()]
91,7,8,[(20:24)]
92,8,9,[()]
93,7,8,[()]
94,6,6,[()]
95,8,8,[()]
96,6,8,[()]
97,8,9,[()]
