index,rest_end_time,action_start,exception
0,0,0,[()]
1,0,0,[()]
2,0,0,[()]
3,0,0,[()]
4,0,0,[()]
5,0,0,[(0:17)]
6,0,0,[()]
7,1,1,[(0:32)]
8,0,1,[(0:25)]
9,6,7,[(0:18)]
10,3,3,[()]
11,1,1,[(20:23)]
12,1,1,[(15:18)]
13,1,2,[(20:38)]
14,1,1,[()]
15,1,1,[()]
16,5,5,[()]
17,2,2,[(19:25)]
18,3,3,[(26:29)]
19,0,0,[(12:18)]
20,3,3,[()]
21,9,9,[()]
22,1,2,[(18:23)]
23,0,0,[(26:29)]
24,2,2,[()]
25,0,0,[()]
26,1,5,[()]
27,3,3,[()]
28,4,6,[()]
29,1,4,[()]
30,4,4,[()]
31,5,5,[()]
32,2,3,[(29:30)]
33,2,5,[()]
34,3,3,[()]
35,2,3,[()]
36,0,2,[(38:41)]
37,1,1,[()]
38,4,4,[()]
39,3,3,[()]
40,4,5,[()]
41,2,3,[()]
42,5,6,[()]
43,2,2,[()]
44,5,5,[()]
45,3,3,[()]
46,3,3,[()]
47,9,11,[()]
48,4,4,[(22:22)]
49,3,3,[(27:27)]
50,7,7,[(24:28)]
51,4,5,[()]
52,4,5,[()]
53,3,3,[()]
54,1,1,[()]
55,1,2,[()]
56,3,4,[()]
57,4,7,[()]
58,4,4,[()]
59,4,4,[()]
60,11,12,[()]
61,0,4,[()]
62,3,3,[()]
63,4,5,[()]
64,0,5,[()]
65,1,1,[()]
66,3,3,[()]
67,3,5,[()]
68,3,4,[()]
69,8,8,[(32:32)]
70,2,3,[()]
71,3,4,[()]
72,5,5,[()]
73,9,9,[()]
74,1,2,[()]
75,3,3,[(26:28)]
76,1,1,[()]
77,2,2,[(35:35)]
78,3,3,[()]
79,4,4,[(34:34)]
80,2,4,[()]
81,3,4,[(20:23)]
82,3,5,[()]
83,1,2,[(32:32)]
84,10,10,[(30:36)]
85,4,4,[()]
86,2,3,[()]
87,2,3,[()]
88,5,5,[()]
89,3,3,[(25:29)]
90,3,4,[(24:26)]
91,3,3,[(32:35)]
92,2,3,[()]
93,2,3,[()]
94,3,4,[(27:27)]
95,2,2,[()]
96,3,4,[()]
97,2,2,[()]
98,2,3,[(26:26)]
99,3,4,[()]
