index,rest_end_time,action_start,exception
0,6,7,[()]
1,6,7,[()]
2,5,5,[()]
3,6,7,[()]
4,7,8,[()]
5,7,8,[()]
6,5,5,[(28:28)]
7,5,5,[()]
8,5,5,[()]
9,0,9,[()]
10,9,9,[()]
11,7,7,[()]
12,1,6,[()]
13,6,7,[()]
14,7,7,[()]
15,4,8,[()]
16,6,7,[()]
17,5,6,[()]
18,8,8,[()]
19,2,7,[()]
20,6,6,[()]
21,11,12,[()]
22,11,11,[()]
23,0,5,[()]
24,6,7,[()]
25,7,7,[()]
26,4,5,[()]
27,11,12,[()]
28,6,6,[(24:24)]
29,1,6,[()]
30,0,5,[()]
31,1,8,[()]
32,7,9,[()]
33,6,6,[()]
34,1,1,[()]
35,6,8,[()]
36,6,6,[()]
37,8,9,[()]
38,7,7,[()]
39,6,7,[()]
40,6,6,[()]
41,5,6,[()]
42,9,10,[()]
43,9,10,[()]
44,8,10,[()]
45,5,7,[()]
46,5,8,[()]
47,7,8,[()]
48,9,9,[()]
49,6,6,[()]
50,6,6,[()]
51,6,6,[()]
52,5,5,[()]
53,4,5,[()]
54,5,6,[()]
55,2,3,[()]
56,10,10,[(2:2)]
57,4,4,[()]
58,5,5,[()]
59,4,4,[()]
60,7,7,[()]
61,5,6,[()]
62,8,8,[()]
63,4,4,[()]
64,6,6,[()]
65,5,5,[()]
66,4,4,[()]
67,0,12,[(31:34)]
68,5,5,[()]
69,5,5,[()]
70,3,4,[()]
71,4,5,[()]
72,3,5,[()]
73,3,4,[()]
74,5,5,[()]
75,4,4,[()]
76,5,7,[()]
77,4,5,[()]
78,7,8,[()]
79,5,5,[()]
80,7,7,[()]
81,6,6,[()]
82,8,8,[()]
83,5,6,[()]
84,4,5,[()]
85,5,6,[()]
86,4,5,[()]
87,5,5,[()]
88,5,5,[()]
89,0,2,[()]
90,5,5,[()]
91,4,5,[()]
92,5,5,[()]
93,4,5,[()]
94,4,4,[()]
95,5,6,[()]
96,4,5,[()]
97,4,5,[()]
98,4,5,[()]
99,4,4,[()]
