index,rest_end_time,action_start,exception
0,0,3,[()]
1,0,0,[()]
2,5,6,[()]
3,0,0,[()]
4,0,0,[()]
5,6,8,[()]
6,9,9,[()]
7,4,8,[()]
8,8,10,[()]
9,8,8,[()]
10,2,6,[(28:28)]
11,0,3,[()]
12,0,0,[()]
13,1,8,[()]
14,4,5,[()]
15,8,8,[()]
16,7,7,[(3:3)]
17,7,8,[()]
18,6,7,[()]
19,5,5,[()]
20,6,7,[()]
21,4,5,[()]
22,0,6,[()]
23,0,0,[()]
24,1,3,[()]
25,0,2,[()]
26,1,9,[()]
27,1,8,[()]
28,1,1,[()]
29,1,3,[()]
30,0,3,[()]
31,1,8,[()]
32,0,7,[()]
33,0,14,[()]
34,0,7,[()]
35,1,3,[()]
36,1,8,[()]
37,0,7,[()]
38,9,9,[()]
39,0,2,[()]
40,7,8,[()]
41,9,10,[()]
42,0,7,[()]
43,7,7,[()]
44,9,10,[()]
46,8,8,[()]
47,6,7,[()]
48,5,6,[()]
49,7,7,[()]
50,3,4,[()]
51,3,5,[()]
52,4,6,[()]
53,4,5,[()]
54,2,4,[()]
55,5,6,[()]
56,0,0,[()]
57,4,6,[()]
58,4,4,[()]
59,6,7,[()]
60,4,5,[()]
61,6,6,[()]
62,3,4,[()]
63,3,5,[()]
64,4,7,[()]
65,1,4,[()]
66,4,7,[()]
67,0,0,[()]
68,5,6,[()]
69,7,7,[()]
70,5,6,[()]
71,6,9,[()]
72,4,4,[()]
73,4,6,[()]
74,4,5,[()]
75,6,6,[()]
76,9,9,[()]
77,4,6,[()]
78,0,0,[()]
79,5,5,[()]
80,4,5,[()]
81,6,7,[()]
82,6,6,[()]
83,8,9,[()]
84,6,6,[()]
85,7,8,[()]
86,6,8,[()]
87,11,13,[()]
88,9,10,[()]
89,0,0,[()]
90,8,10,[()]
91,6,7,[()]
92,10,12,[()]
93,7,7,[()]
94,4,4,[()]
95,8,8,[()]
96,9,9,[()]
97,9,10,[()]
98,8,8,[()]
99,5,6,[()]
